index,roi_name,hemisphere,region_full_name,functional_system,sub_system
326,R_PFop_ROI,Right,Opercular Parietal Area PF,DefaultMode,Parietal
327,R_PF_ROI,Right,Supramarginal Gyrus (Area PF),DefaultMode,Parietal
328,R_PFm_ROI,Right,Medial Parietal Area PF,DefaultMode,Parietal
329,R_PGi_ROI,Right,Inferior Angular Gyrus (Area PG),DefaultMode,Parietal
330,R_PGs_ROI,Right,Superior Angular Gyrus (Area PG),DefaultMode,Parietal
331,R_V6A_ROI,Right,Visual Area 6A (V6A),Visual,Dorsal
332,R_VMV1_ROI,Right,Ventromedial Visual Area 1 (VMV1),Visual,Ventral
333,R_VMV3_ROI,Right,Ventromedial Visual Area 3 (VMV3),Visual,Ventral
334,R_PHA2_ROI,Right,Parahippocampal Area 2,Limbic,Parahippocampal
335,R_V4t_ROI,Right,Transitional Visual Area 4 (V4t),Visual,Ventral
336,R_FST_ROI,Right,Fundus of Superior Temporal Sulcus,Visual,Dorsal
337,R_V3CD_ROI,Right,Dorsal Visual Transition Area 3 (V3CD),Visual,Dorsal
338,R_LO3_ROI,Right,Lateral Occipital Area 3 (LO3),Visual,Lateral
339,R_VMV2_ROI,Right,Ventromedial Visual Area 2 (VMV2),Visual,Ventral
340,R_31pd_ROI,Right,Posterior Dorsal Cingulate Area 31,DefaultMode,PosteriorCingulate
341,R_31a_ROI,Right,Anterior Cingulate Area 31,DefaultMode,PosteriorCingulate
342,R_VVC_ROI,Right,Ventral Visual Complex,Visual,Ventral
343,Sg25_L,Right,Subgenual Cingulate Area 25,Limbic,SubgenualCingulate
344,Sgs32_L,Right,Subgenual Cingulate Area 32,Limbic,SubgenualCingulate
345,R_pOFC_ROI,Right,Posterior Orbitofrontal Complex,Limbic,Orbitofrontal
346,R_PoI1_ROI,Right,Posterior Insular Area 1,CinguloOpercular,Insula
347,R_Ig_ROI,Right,Granular Insula,CinguloOpercular,Insula
348,R_FOP5_ROI,Right,Frontal Opercular Area 5,CinguloOpercular,FrontalOperculum
349,R_p10p_ROI,Right,Posterior Polar Area 10,DefaultMode,Prefrontal
350,R_p47r_ROI,Right,Posterior Rostral Orbitofrontal Area 47,Limbic,Orbitofrontal
351,R_TGv_ROI,Right,Ventral Temporal Pole,Temporal,Association
352,R_MBelt_ROI,Right,Medial Auditory Parabelt,Auditory,Belt
353,R_LBelt_ROI,Right,Lateral Auditory Parabelt,Auditory,Belt
354,R_A4_ROI,Right,Auditory Association Area 4,Auditory,Association
355,R_STSva_ROI,Right,Ventral Anterior Superior Temporal Sulcus,VentralAttention,Temporal
356,R_TE1m_ROI,Right,Middle Inferotemporal Area TE1,Temporal,Inferotemporal
357,R_PI_ROI,Right,Parieto-Insular Vestibular Cortex,VentralAttention,Vestibular
358,R_a32pr_ROI,Right,Anterior Pregenual Cingulate Area 32,CinguloOpercular,AnteriorCingulate
359,R_p24_ROI,Right,Posterior Cingulate Area 24,CinguloOpercular,MidCingulate
360,HIP-head-m1-rh,Right,Hippocampus (Head Subfield m1),Limbic,Hippocampus
361,HIP-head-m2-rh,Right,Hippocampus (Head Subfield m2),Limbic,Hippocampus
362,THA-VAip-rh,Right,Thalamus (Ventral Anterior internal part),Thalamus,Thalamus
363,THA-VAia-rh,Right,Thalamus (Ventral Anterior internal part),Thalamus,Thalamus
364,HIP-head-l-rh,Right,Hippocampus (Head Lateral),Limbic,Hippocampus
365,HIP-body-rh,Right,Hippocampus (Body),Limbic,Hippocampus
366,HIP-tail-rh,Right,Hippocampus (Tail),Limbic,Hippocampus
367,THA-VPm-rh,Right,Thalamus (Ventral Posteromedial),Thalamus,Thalamus
368,THA-VPl-rh,Right,Thalamus (Ventral Posterolateral),Thalamus,Thalamus
369,THA-VAs-rh,Right,Thalamus (Ventral Anterior superior part),Thalamus,Thalamus
370,THA-DAm-rh,Right,Thalamus (Dorsomedial anterior medial part),Thalamus,Thalamus
371,THA-DAl-rh,Right,Thalamus (Dorsomedial anterior lateral part),Thalamus,Thalamus
372,PUT-VA-rh,Right,Putamen (Ventral Anterior),BasalGanglia,Striatum
373,PUT-DA-rh,Right,Putamen (Dorsal Anterior),BasalGanglia,Striatum
374,PUT-VP-rh,Right,Putamen (Ventral Posterior),BasalGanglia,Striatum
375,PUT-DP-rh,Right,Putamen (Dorsal Posterior),BasalGanglia,Striatum
376,CAU-VA-rh,Right,Caudate Nucleus (Ventral Anterior),BasalGanglia,Striatum
377,CAU-DA-rh,Right,Caudate Nucleus (Dorsal Anterior),BasalGanglia,Striatum
378,CAU-body-rh,Right,Caudate Nucleus (Body),BasalGanglia,Striatum
379,CAU-tail-rh,Right,Caudate Nucleus (Tail),BasalGanglia,Striatum
380,lAMY-rh,Right,Amygdala (Lateral),Limbic,Amygdala
381,mAMY-rh,Right,Amygdala (Medial),Limbic,Amygdala
382,THA-DP-rh,Right,Thalamus (Dorsal Posterior / Pulvinar),Thalamus,Thalamus
383,NAc-shell-rh,Right,Nucleus Accumbens (Shell),Limbic,Striatum
384,NAc-core-rh,Right,Nucleus Accumbens (Core),Limbic,Striatum
385,pGP-rh,Right,Globus Pallidus (Posterior),BasalGanglia,Pallidum
386,aGP-rh,Right,Globus Pallidus (Anterior),BasalGanglia,Pallidum
387,HIP-head-m1-lh,Left,Hippocampus (Head Subfield m1),Limbic,Hippocampus
388,HIP-head-m2-lh,Left,Hippocampus (Head Subfield m2),Limbic,Hippocampus
389,THA-VAip-lh,Left,Thalamus (Ventral Anterior internal part),Thalamus,Thalamus
390,THA-VAia-lh,Left,Thalamus (Ventral Anterior internal part),Thalamus,Thalamus
391,HIP-head-l-lh,Left,Hippocampus (Head Lateral),Limbic,Hippocampus
392,HIP-body-lh,Left,Hippocampus (Body),Limbic,Hippocampus
393,HIP-tail-lh,Left,Hippocampus (Tail),Limbic,Hippocampus
394,THA-VPm-lh,Left,Thalamus (Ventral Posteromedial),Thalamus,Thalamus
395,THA-VPl-lh,Left,Thalamus (Ventral Posterolateral),Thalamus,Thalamus
396,THA-VAs-lh,Left,Thalamus (Ventral Anterior superior part),Thalamus,Thalamus
397,THA-DAm-lh,Left,Thalamus (Dorsomedial anterior medial part),Thalamus,Thalamus
398,THA-DAl-lh,Left,Thalamus (Dorsomedial anterior lateral part),Thalamus,Thalamus
399,PUT-VA-lh,Left,Putamen (Ventral Anterior),BasalGanglia,Striatum
400,PUT-DA-lh,Left,Putamen (Dorsal Anterior),BasalGanglia,Striatum
401,PUT-VP-lh,Left,Putamen (Ventral Posterior),BasalGanglia,Striatum
402,PUT-DP-lh,Left,Putamen (Dorsal Posterior),BasalGanglia,Striatum
403,CAU-VA-lh,Left,Caudate Nucleus (Ventral Anterior),BasalGanglia,Striatum
404,CAU-DA-lh,Left,Caudate Nucleus (Dorsal Anterior),BasalGanglia,Striatum
405,CAU-body-lh,Left,Caudate Nucleus (Body),BasalGanglia,Striatum
406,CAU-tail-lh,Left,Caudate Nucleus (Tail),BasalGanglia,Striatum
407,lAMY-lh,Left,Amygdala (Lateral),Limbic,Amygdala
408,mAMY-lh,Left,Amygdala (Medial),Limbic,Amygdala
409,THA-DP-lh,Left,Thalamus (Dorsal Posterior / Pulvinar),Thalamus,Thalamus
410,NAc-shell-lh,Left,Nucleus Accumbens (Shell),Limbic,Striatum
411,NAc-core-lh,Left,Nucleus Accumbens (Core),Limbic,Striatum
412,pGP-lh,Left,Globus Pallidus (Posterior),BasalGanglia,Pallidum
413,aGP-lh,Left,Globus Pallidus (Anterior),BasalGanglia,Pallidum
414,M1L,Left,Cerebellum Primary Motor Region 1 (Left),Cerebellum,Motor
415,M2L,Left,Cerebellum Primary Motor Region 2 (Left),Cerebellum,Motor
416,M3L,Left,Cerebellum Primary Motor Region 3 (Left),Cerebellum,Motor
417,M4L,Left,Cerebellum Primary Motor Region 4 (Left),Cerebellum,Motor
418,A1L,Left,Cerebellum Action Observation Region 1 (Left),Cerebellum,Action
419,A2L,Left,Cerebellum Action Imagery Region 2 (Left),Cerebellum,Action
420,A3L,Left,Cerebellum Biological Motion Region 3 (Left),Cerebellum,Action
421,D1L,Left,Cerebellum Working Memory Region 1 (Left),Cerebellum,Demand
422,D2L,Left,Cerebellum Inhibition Region 2 (Left),Cerebellum,Demand
423,D3L,Left,Cerebellum Cognitive Flexibility Region 3 (Left),Cerebellum,Demand
424,D4L,Left,Cerebellum Task Switching Region 4 (Left),Cerebellum,Demand
425,S1L,Left,Cerebellum Theory of Mind Region 1 (Left),Cerebellum,Social
426,S2L,Left,Cerebellum Affective Empathy Region 2 (Left),Cerebellum,Social
427,S3L,Left,Cerebellum Emotional Face Region 3 (Left),Cerebellum,Social
428,S4L,Left,Cerebellum Social Scene Region 4 (Left),Cerebellum,Social
429,S5L,Left,Cerebellum Moral Judgment Region 5 (Left),Cerebellum,Social
430,M1R,Right,Cerebellum Primary Motor Region 1 (Right),Cerebellum,Motor
431,M2R,Right,Cerebellum Primary Motor Region 2 (Right),Cerebellum,Motor
432,M3R,Right,Cerebellum Primary Motor Region 3 (Right),Cerebellum,Motor
433,M4R,Right,Cerebellum Primary Motor Region 4 (Right),Cerebellum,Motor
434,A1R,Right,Cerebellum Action Observation Region 1 (Right),Cerebellum,Action
435,A2R,Right,Cerebellum Action Imagery Region 2 (Right),Cerebellum,Action
436,A3R,Right,Cerebellum Biological Motion Region 3 (Right),Cerebellum,Action
437,D1R,Right,Cerebellum Working Memory Region 1 (Right),Cerebellum,Demand
438,D2R,Right,Cerebellum Inhibition Region 2 (Right),Cerebellum,Demand
439,D3R,Right,Cerebellum Cognitive Flexibility Region 3 (Right),Cerebellum,Demand
440,D4R,Right,Cerebellum Task Switching Region 4 (Right),Cerebellum,Demand
441,S1R,Right,Cerebellum Theory of Mind Region 1 (Right),Cerebellum,Social
442,S2R,Right,Cerebellum Affective Empathy Region 2 (Right),Cerebellum,Social
443,S3R,Right,Cerebellum Emotional Face Region 3 (Right),Cerebellum,Social
444,S4R,Right,Cerebellum Social Scene Region 4 (Right),Cerebellum,Social
445,S5R,Right,Cerebellum Moral Judgment Region 5 (Right),Cerebellum,Social
446,STN-lh,Left,Subthalamic Nucleus (Left),BasalGanglia,Subthalamic
447,STN-rh,Right,Subthalamic Nucleus (Right),BasalGanglia,Subthalamic
